"Response ID","Date submitted","Last page","Start language","Seed","Which ethnic gr..  [Moldovan]","Which ethnic gr..  [Romanian]","Which ethnic gr..  [Ukrainian]","Which ethnic gr..  [Russian]","Which ethnic gr..  [Gagauz]","Which ethnic gr..  [Bulgarian]","Which ethnic gr..  [Roma]","Which ethnic gr..  [Prefer not to a.. ]","Which ethnic gr..  [Other]"
"2","1980-01-01 00:00:00","1","en","1661240298","No","No","No","No","No","No","No","No","Ferenghi"
"3",,,"en","1059021274","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",
"4",,,"en","1968039776","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",
"5",,,"en","1067772227","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",
"6",,,"en","1989020906","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",
"7","1980-01-01 00:00:00","1","en","376212400","No","Yes","No","No","No","No","No","No",""
"8",,,"en","1842193088","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",
"9","1980-01-01 00:00:00","1","en","37550412","No","Yes","No","No","No","No","No","No",""
"10","1980-01-01 00:00:00","1","en","1081622891","Yes","Yes","No","Yes","Yes","No","No","No",""
"11","1980-01-01 00:00:00","1","en","2033930557","Yes","No","No","No","No","No","No","No",""
"12","1980-01-01 00:00:00","1","en","777765098","Yes","No","No","No","No","No","No","No",""
"13",,,"en","1167048","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",
"14","1980-01-01 00:00:00","1","en","887502372","Yes","No","No","No","No","No","No","No",""
"15","1980-01-01 00:00:00","1","en","762843181","No","Yes","No","No","No","No","No","No",""
"16",,,"en","1027217134","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",
"17",,,"en","194694890","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",
"18","1980-01-01 00:00:00","1","en","200788377","No","Yes","No","No","No","No","No","No",""
"19","1980-01-01 00:00:00","1","en","593246505","Yes","No","No","No","No","No","No","No",""
"20","1980-01-01 00:00:00","1","en","1451678079","No","Yes","No","No","No","No","No","No",""
"21","1980-01-01 00:00:00","1","en","565387948","Yes","No","No","No","No","No","No","No",""
"22",,,"en","838528934","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",
"23",,,"en","705150629","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",
"24",,,"en","1831927985","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",
"25",,,"en","21117990","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",
"26",,,"en","606395742","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",
"27",,,"en","1892960406","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",
"28","1980-01-01 00:00:00","1","en","1173636554","Yes","No","No","No","No","No","No","No",""
"29",,,"en","1730049121","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",
"30","1980-01-01 00:00:00","1","en","142154285","No","No","No","Yes","No","No","No","No",""
"31",,,"en","1728758148","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",
"32","1980-01-01 00:00:00","1","en","1085442447","No","Yes","No","No","No","No","No","No",""
"33","1980-01-01 00:00:00","1","en","201262471","Yes","No","No","No","No","No","No","No",""
"34","1980-01-01 00:00:00","1","en","80302219","No","Yes","No","No","No","No","No","No",""
"35",,,"en","474097645","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",
"36","1980-01-01 00:00:00","1","en","1112133499","Yes","No","No","No","No","No","No","No",""
"37",,,"en","1719558057","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",
